time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.488,-5.4445,-5.430831,-0.008236699,-0.008893453,-0.013669014,0.0006567538
0.49,-5.6261,-5.6055403,-0.0077627003,-0.008302845,-0.020559788,0.00054014474
0.492,-5.7711,-5.748165,-0.0081423,-0.007730413,-0.022934914,-0.00041188672
0.494,-5.8805,-5.857559,-0.007892199,-0.008010102,-0.022940636,0.000117903575
0.496,-5.9578,-5.9345007,-0.007718399,-0.0077024046,-0.023299217,-1.5994534e-05
0.498,-6.0008,-5.981863,-0.007626999,-0.0075177606,-0.01893711,-0.00010923855
0.5,-6.0101995,-5.9966574,-0.007614501,-0.007453408,-0.013542175,-0.00016109273
0.502,-5.9872,-5.9790115,-0.0076764002,-0.007492874,-0.008188248,-0.00018352643
0.504,-5.9333,-5.929948,-0.0078075994,-0.007619763,-0.0033521652,-0.00018783659
0.506,-5.8501997,-5.8512173,-0.008001801,-0.007820208,0.0010175705,-0.000181593
0.508,-5.7401,-5.74508,-0.0082513,-0.008082204,0.0049800873,-0.00016909651
0.51,-5.6052,-5.614354,-0.008546799,-0.008394826,0.00915432,-0.00015197322
0.512,-5.448,-5.461653,-0.008877,-0.008745385,0.013653278,-0.0001316145
0.514,-5.2712,-5.2895517,-0.009228,-0.009115469,0.018351555,-0.00011253171
0.516,-5.0776,-5.100465,-0.0095826,-0.009478105,0.022864819,-0.00010449439
0.518,-4.8702,-4.8965893,-0.0099195,-0.009797797,0.026389122,-0.00012170337
0.52,-4.6518,-4.680178,-0.010212,-0.010033917,0.02837801,-0.00017808378
0.522,-4.4255,-4.453845,-0.010426,-0.010148823,0.028345108,-0.0002771765
0.524,-4.1938,-4.2213793,-0.010044999,-0.01011974,0.027579308,7.47405e-05
0.526,-3.96,-3.9852707,-0.010044001,-0.009458313,0.0252707,-0.0005856883
0.528,-3.727,-3.748601,-0.0098202005,-0.009144474,0.021600962,-0.0006757267
