Time_s,Current_A,CurrentForModel_A,CoilForce_N,CoilForceForModel_N,WeightLoad_N,NetForce_N,Displacement_mm,DisplacementForModel_mm
0.1592,0.2,0.2,0.021021,0.021021,0.025637,-0.004615999999999999,4.75701977864831,4.75701977864831
0.16,0.2,0.2,0.020916,0.020916,0.025637,-0.0047209999999999995,4.76295445416102,4.76295445416102
0.1608,0.2,0.2,0.02083,0.02083,0.025637,-0.004806999999999999,4.76785536900386,4.76785536900386
0.1616,0.2,0.2,0.020762,0.020762,0.025637,-0.004875000000000001,4.77173066115659,4.77173066115659
0.1624,0.2,0.2,0.020712,0.020712,0.025637,-0.004924999999999999,4.77459170264623,4.77459170264623
0.1632,0.2,0.2,0.02068,0.02068,0.025637,-0.004957,4.7764529756442,4.7764529756442
0.164,0.2,0.2,0.020664,0.020664,0.025637,-0.004973000000000002,4.77733194398594,4.77733194398594
0.1648,0.2,0.2,0.020666,0.020666,0.025637,-0.004971,4.7772489203661,4.7772489203661
0.1656,0.2,0.2,0.020684,0.020684,0.025637,-0.004952999999999999,4.77622692951492,4.77622692951492
0.1664,0.2,0.2,0.020718,0.020718,0.025637,-0.004919,4.77429156770818,4.77429156770818
0.1672,0.2,0.2,0.020767,0.020767,0.025637,-0.004869999999999999,4.77147085900199,4.77147085900199
0.168,0.2,0.2,0.020832,0.020832,0.025637,-0.004805,4.76779510861559,4.76779510861559
0.1688,0.2,0.2,0.020911,0.020911,0.025637,-0.004726000000000001,4.76329675390759,4.76329675390759
0.1696,0.2,0.2,0.021004,0.021004,0.025637,-0.004633000000000002,4.75801021340499,4.75801021340499
0.1704,0.2,0.2,0.02111,0.02111,0.025637,-0.004527,4.75197173434915,4.75197173434915
0.1712,0.2,0.2,0.021229,0.021229,0.025637,-0.004407999999999999,4.74521923921787,4.74521923921787
0.172,0.2,0.2,0.02136,0.02136,0.025637,-0.0042769999999999996,4.73779217166893,4.73779217166893
0.1728,0.2,0.2,0.021503,0.021503,0.025637,-0.004133999999999999,4.72973134232693,4.72973134232693
0.1736,0.2,0.2,0.021657,0.021657,0.025637,-0.003980000000000001,4.72107877480382,4.72107877480382
0.1744,0.2,0.2,0.021821,0.021821,0.025637,-0.003816,4.71187755230424,4.71187755230424
0.1752,0.2,0.2,0.021994,0.021994,0.025637,-0.0036430000000000004,4.70217166512189,4.70217166512189
0.176,0.2,0.2,0.022176,0.022176,0.025637,-0.003460999999999999,4.69200585928452,4.69200585928452
0.1768,0.2,0.2,0.022366,0.022366,0.025637,-0.0032709999999999996,4.68142548655467,4.68142548655467
0.1776,0.2,0.2,0.022564,0.022564,0.025637,-0.0030729999999999993,4.67047635594517,4.67047635594517
0.1784,0.2,0.2,0.022768,0.022768,0.025637,-0.002869,4.65920458686329,4.65920458686329
0.1792,0.2,0.2,0.022978,0.022978,0.025637,-0.0026590000000000016,4.64765646396032,4.64765646396032
0.18,0.2,0.2,0.023193,0.023193,0.025637,-0.0024440000000000017,4.63587829373433,4.63587829373433
0.1808,0.2,0.2,0.023413,0.023413,0.025637,-0.0022240000000000003,4.62391626291719,4.62391626291719
0.1816,0.2,0.2,0.023636,0.023636,0.025637,-0.0020009999999999993,4.61181629867169,4.61181629867169
0.1824,0.2,0.2,0.023862,0.023862,0.025637,-0.0017749999999999988,4.59962393063252,4.59962393063252
0.1832,0.2,0.2,0.02409,0.02409,0.025637,-0.0015469999999999998,4.58738415484662,4.58738415484662
0.184,0.2,0.2,0.02432,0.02432,0.025637,-0.0013169999999999987,4.57514129970044,4.57514129970044
0.1848,0.2,0.2,0.02455,0.02455,0.025637,-0.0010870000000000012,4.5629388939663,4.5629388939663
0.1856,0.2,0.2,0.02478,0.02478,0.025637,-0.0008570000000000001,4.5508195371518,4.5508195371518
0.1864,0.2,0.2,0.025009,0.025009,0.025637,-0.0006280000000000001,4.53882477239519,4.53882477239519
0.1872,0.2,0.2,0.025236,0.025236,0.025637,-0.0004009999999999986,4.52699496221198,4.52699496221198
0.188,0.2,0.2,0.02546,0.02546,0.025637,-0.00017700000000000007,4.51536916746139,4.51536916746139
0.1888,0.2,0.2,0.025681,0.025681,0.025637,4.39999999999989e-05,4.50398502996253,4.50398502996253
0.1896,0.2,0.2,0.025898,0.025898,0.025637,0.0002610000000000008,4.49287865924689,4.49287865924689
0.1904,0.2,0.2,0.02611,0.02611,0.025637,0.0004730000000000012,4.48208452398343,4.48208452398343
0.1912,0.2,0.2,0.026317,0.026317,0.025637,0.00068,4.47163534865223,4.47163534865223
0.192,0.2,0.2,0.026517,0.026517,0.025637,0.0008799999999999988,4.46156201607181,4.46156201607181
0.1928,0.2,0.2,0.02671,0.02671,0.025637,0.001073000000000001,4.45189347640121,4.45189347640121
0.1936,0.2,0.2,0.026895,0.026895,0.025637,0.0012579999999999987,4.44265666324027,4.44265666324027
0.1944,0.2,0.2,0.027072,0.027072,0.025637,0.0014349999999999988,4.43387641744029,4.43387641744029
0.1952,0.2,0.2,0.02724,0.02724,0.025637,0.0016030000000000003,4.42557541921145,4.42557541921145
0.196,0.2,0.2,0.027399,0.027399,0.025637,0.0017619999999999997,4.41777412907511,4.41777412907511
0.1968,0.2,0.2,0.027548,0.027548,0.025637,0.0019109999999999995,4.41049073815731,4.41049073815731
0.1976,0.2,0.2,0.027686,0.027686,0.025637,0.0020489999999999987,4.40374112825813,4.40374112825813
0.1984,0.2,0.2,0.027813,0.027813,0.025637,0.002176000000000001,4.39753884205968,4.39753884205968
0.1992,0.2,0.2,0.02793,0.02793,0.025637,0.002293,4.39189506375632,4.39189506375632
0.2,0.2,0.2,0.028035,0.028035,0.025637,0.002398000000000001,4.38681861030582,4.38681861030582
0.2008,0.2,0.2,0.028128,0.028128,0.025637,0.002491,4.38231593341136,4.38231593341136
0.2016,0.2,0.2,0.02821,0.02821,0.025637,0.002572999999999999,4.37839113225344,4.37839113225344
0.2024,0.2,0.2,0.02828,0.02828,0.025637,0.0026429999999999995,4.37504597690014,4.37504597690014
0.2032,0.2,0.2,0.028337,0.028337,0.025637,0.002700000000000001,4.37227994223416,4.37227994223416
0.204,0.2,0.2,0.028383,0.028383,0.025637,0.0027459999999999984,4.37009025214883,4.37009025214883
0.2048,0.2,0.2,0.028417,0.028417,0.025637,0.0027800000000000012,4.36847193368235,4.36847193368235
0.2056,0.2,0.2,0.028439,0.028439,0.025637,0.002801999999999999,4.36741788068157,4.36741788068157
0.2064,0.2,0.2,0.028449,0.028449,0.025637,0.0028119999999999985,4.36691892651541,4.36691892651541
0.2072,0.2,0.2,0.028448,0.028448,0.025637,0.002811000000000001,4.36696392529222,4.36696392529222
