Time_s,Current_A,CoilForce_N,WeightLoad_N,NetForce_N,Displacement_mm
0.12,0.2,0.035877,0.025637,0.01024,4.03851661710519
0.1208,0.2,0.036023,0.025637,0.010386,4.03244541372353
0.1216,0.2,0.036118,0.025637,0.010481,4.02848189083053
0.1224,0.2,0.036163,0.025637,0.010526,4.0265851920894
0.1232,0.2,0.03616,0.025637,0.010523,4.0267063200613
0.124,0.2,0.03611,0.025637,0.010473,4.02878858335855
0.1248,0.2,0.036015,0.025637,0.010378,4.03276807751425
0.1256,0.2,0.035875,0.025637,0.010238,4.03857419569103
0.1264,0.2,0.035694,0.025637,0.010057,4.0461301655798
0.1272,0.2,0.035474,0.025637,0.009837,4.05535360896607
0.128,0.2,0.035216,0.025637,0.009579,4.06615712046445
0.1288,0.2,0.034935,0.025637,0.009298,4.07797381931457
0.1296,0.2,0.034624,0.025637,0.008987,4.09108619655797
0.1304,0.2,0.034284,0.025637,0.008647,4.1055265887537
0.1312,0.2,0.033915,0.025637,0.008278,4.12124038672463
0.132,0.2,0.03352,0.025637,0.007883,4.13814170319925
0.1328,0.2,0.033102,0.025637,0.007465,4.1561326209184
0.1336,0.2,0.032665,0.025637,0.007028,4.17511011306804
0.1344,0.2,0.032211,0.025637,0.006574,4.19496878893748
0.1352,0.2,0.031743,0.025637,0.006106,4.21560221939357
0.136,0.2,0.031265,0.025637,0.005628,4.23690376965187
0.1368,0.2,0.030779,0.025637,0.005142,4.25876724893742
0.1376,0.2,0.030287,0.025637,0.00465,4.28108747802188
0.1384,0.2,0.029794,0.025637,0.004157,4.30376080556099
0.1392,0.2,0.029301,0.025637,0.003664,4.32668558104456
0.14,0.2,0.02881,0.025637,0.003173,4.34976258502093
0.1408,0.2,0.028324,0.025637,0.002687,4.37289541556031
0.1416,0.2,0.027845,0.025637,0.002208,4.3959908300839
0.1424,0.2,0.027374,0.025637,0.001737,4.41895904245099
0.1432,0.2,0.026913,0.025637,0.001276,4.44171397610153
0.144,0.2,0.026464,0.025637,0.000827000000000001,4.46417347491063
0.1448,0.2,0.026028,0.025637,0.000390999999999999,4.48625947414045
0.1456,0.2,0.025605,0.025637,-3.20000000000008e-05,4.5078981344376
0.1464,0.2,0.025196,0.025637,-0.000441,4.52901994220807
0.1472,0.2,0.024803,0.025637,-0.000834000000000001,4.54955977990995
0.148,0.2,0.024427,0.025637,-0.00121,4.56945696985401
0.1488,0.2,0.024066,0.025637,-0.001571,4.58865529501307
0.1496,0.2,0.023723,0.025637,-0.001914,4.60710300014
0.1504,0.2,0.023397,0.025637,-0.00224,4.62475277620841
0.1512,0.2,0.023089,0.025637,-0.002548,4.64156173084497
0.152,0.2,0.022798,0.025637,-0.002839,4.65749134704366
0.1528,0.2,0.022527,0.025637,-0.00311,4.67250743206254
0.1536,0.2,0.022273,0.025637,-0.003364,4.68658005802263
0.1544,0.2,0.022038,0.025637,-0.003599,4.69968349537232
0.1552,0.2,0.021822,0.025637,-0.003815,4.71179614006392
0.156,0.2,0.021624,0.025637,-0.004013,4.72290043501927
0.1568,0.2,0.021445,0.025637,-0.004192,4.73298278624475
