Time_s,Current_A,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsTestingSample
0.1032,0.2,4.63031046881751,4.617484104584539,0.012826364232970455,0.028624,0.026340867703409116,0.002283132296590884,True,False
0.104,0.2,4.58482176086247,4.589355438535623,-0.004533677673153491,0.029461,0.026403099629916386,0.0030579003700836153,True,False
0.1048,0.2,4.54126678997942,4.565720608048495,-0.024453818069074984,0.030263,0.026453358647033534,0.0038096413529664676,True,False
0.1056,0.2,4.49974366676023,4.54676582912417,-0.04702216236394019,0.030151999999999998,0.02648581685522093,0.003666183144779067,True,False
0.1064,0.2,4.45936713636438,4.531119583960394,-0.07175244759601451,0.026561,0.02651143430712404,4.956569287596288e-05,True,False
0.1072,0.2,4.42025804629284,4.518308806399697,-0.09805076010685632,0.027349,0.026531484150506275,0.0008175158494937232,True,False
0.108,0.2,4.38204661435952,4.507898331460033,-0.12585171710051313,0.028134,0.026547048543913956,0.0015869514560860436,True,False
0.1088,0.2,4.34578018087032,4.499497520153793,-0.15371733928347275,0.028895,0.026559034276865796,0.002335965723134204,True,False
0.1096,0.2,4.31111376231118,4.492763233896335,-0.1816494715851551,0.029636,0.026568189072146833,0.0030678109278531665,True,False
0.1104,0.2,4.27814426528441,4.487398707836089,-0.20925444255167935,0.030353,0.02657512334493708,0.00377787665506292,True,False
0.1112,0.2,4.24696105476473,4.483151162314368,-0.23619010754963732,0.031041,0.026580331757308888,0.004460668242691111,True,False
0.112,0.2,4.21764539219244,4.479807791920521,-0.26216239972808086,0.031698,0.026584206314630397,0.0051137936853696,True,False
0.1128,0.2,4.19026993204998,4.477191258812344,-0.28692132676236426,0.032319,0.026587061808057685,0.005731938191942315,True,False
0.1136,0.2,4.16489829058061,4.475155726838025,-0.3102574362574151,0.032901,0.026589139429687807,0.006311860570312192,True,False
0.1144,0.2,4.14158469594225,4.473581385920433,-0.3319966899781823,0.03344,0.026590635011678746,0.006849364988321251,True,False
0.1152,0.2,4.12037372487684,4.472370621379461,-0.3519968965026212,0.033935,0.026591693978677257,0.007343306021322743,True,False
0.116,0.2,4.10130012727567,4.471445467658054,-0.37014534038238356,0.034384,0.026592429560004918,0.00779157043999508,True,False
0.1168,0.2,4.08438873704884,4.470743101642605,-0.3863543645937648,0.034783,0.026592929406070304,0.008190070593929698,True,False
0.1176,0.2,4.06965446553092,4.470213454122774,-0.4005589885918539,0.035133,0.02659325872604897,0.008539741273951029,True,False
0.1184,0.2,4.05710237223305,4.469816933918287,-0.41271456168523724,0.035432,0.02659346581292868,0.008838534187071319,True,False
0.1192,0.2,4.04672780696996,4.4695225801403025,-0.42279477317034253,0.03568,0.026593588046027638,0.009086411953972365,True,False
0.12,0.2,4.03851661710519,4.469305763784812,-0.4307891466796221,0.035877,0.026593650731417114,0.009283349268582885,True,False
0.1208,0.2,4.03244541372353,4.469147782131481,-0.43670236840795074,0.036023,0.026593675628225774,0.009429324371774225,True,False
0.1216,0.2,4.02848189083053,4.469034078605207,-0.440552187774677,0.036118,0.026593675014331863,0.009524324985668135,True,False
0.1224,0.2,4.0265851920894,4.468953228773207,-0.4423680366838072,0.036163,0.02659365925772145,0.00956934074227855,True,False
0.1232,0.2,4.0267063200613,4.468896692477642,-0.4421903724163423,0.03616,0.02659363347417714,0.009566366525822857,True,False
0.124,0.2,4.02878858335855,4.468857957566492,-0.44006937420794134,0.03611,0.02659360482579457,0.009516395174205432,True,False
0.1248,0.2,4.03276807751425,4.468832246959382,-0.4360641694451317,0.036015,0.02659357542709722,0.009421424572902778,True,False
0.1256,0.2,4.03857419569103,4.468815504644673,-0.43024130895364276,0.035875,0.02659354718797726,0.009281452812022736,True,False
0.1264,0.2,4.0461301655798,4.468805387148974,-0.4226752215691736,0.035694,0.026593520449486863,0.009100479550513133,True,False
