Epoch,Iteration,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE,BaseLearnRate
60,60,0.31986933946609497,0.06934287399053574,0.5655699372291565,0.263330340385437,0.001
61,61,0.3167254328727722,0.06977104395627975,0.5627836585044861,0.26414209604263306,0.001
62,62,0.3145309090614319,0.07005137950181961,0.5608305335044861,0.2646722197532654,0.001
63,63,0.31362974643707275,0.07019543647766113,0.5600265860557556,0.2649442255496979,0.001
64,64,0.3113555908203125,0.07020944356918335,0.5579924583435059,0.26497066020965576,0.001
65,65,0.30922043323516846,0.07010258734226227,0.556075930595398,0.26476892828941345,0.001
66,66,0.3081609606742859,0.06988655030727386,0.5551224946975708,0.264360636472702,0.001
67,67,0.30647942423820496,0.06957551091909409,0.553605854511261,0.2637717127799988,0.001
68,68,0.3042721152305603,0.06918614357709885,0.551608681678772,0.26303258538246155,0.001
69,69,0.3028774857521057,0.06872784346342087,0.5503430366516113,0.26215994358062744,0.001
70,70,0.3013846278190613,0.06821652501821518,0.5489850640296936,0.2611829340457916,0.001
71,71,0.2991860508918762,0.06767091900110245,0.5469790101051331,0.26013633608818054,0.001
