Evaluation,Kind,Output,Unit,Samples,Pass95,PassCriterion,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat,Test_origin
Load1_ZeroInput_0.793s,one_step_validation,Displacement,mm,200,True,Fit_percent >= 95,2.3558359387720885e-08,0.00015348732647264688,0.00013023078441619872,0.0003566741943359375,0.11360001564025879,0.13511206456053726,0.9999668553803367,99.42428635882658,False,Total_Data.xlsx development
Load1_ZeroInput_0.793s,one_step_validation,Lorentz force,N,200,True,flat reference: max abs error <= 0.001,4.119710564472947e-11,6.41849714845535e-06,5.416089829077819e-06,1.4281000403570943e-05,1.611510037946573e-05,,,,True,Total_Data.xlsx development
Load2_DCSine_150mA_0.8s,one_step_validation,Displacement,mm,200,True,Fit_percent >= 95,3.2742765583293475e-08,0.00018094962167214794,0.00014862239360809325,0.0005545616149902344,0.457300066947937,0.039569122060231145,0.9999971638317546,99.83159072931088,False,Total_Data.xlsx development
Load2_DCSine_150mA_0.8s,one_step_validation,Lorentz force,N,200,True,Fit_percent >= 95,9.322841023398369e-07,0.0009655486017492009,0.0008550250314874574,0.0017421320080757141,0.13531338464235887,0.7135647403257276,0.9995674042155039,97.92010628998476,False,Total_Data.xlsx development
Load2_Sine_150mA_0.8s,one_step_validation,Displacement,mm,200,True,Fit_percent >= 95,7.279715077856963e-08,0.0002698094712543828,0.0002077770233154297,0.0007882118225097656,0.6394999027252197,0.04219069777877895,0.9999969499793911,99.82535691800484,False,Total_Data.xlsx development
Load2_Sine_150mA_0.8s,one_step_validation,Lorentz force,N,200,True,Fit_percent >= 95,4.5567857850020564e-08,0.00021346629206977987,0.00016986686701784493,0.0006330003961920738,0.09545399993658066,0.22363263164624447,0.9999493285260932,99.28816101605167,False,Total_Data.xlsx development
Load3_Sine_200mA_1.6s,one_step_validation,Displacement,mm,400,True,Fit_percent >= 95,4.60580287153789e-08,0.0002146113433986631,0.00016747593879699708,0.0008721351623535156,2.19789981842041,0.009764382416342355,0.9999998152261034,99.95701466568268,False,Total_Data.xlsx development
Load3_Sine_200mA_1.6s,one_step_validation,Lorentz force,N,400,True,Fit_percent >= 95,5.121250406620241e-08,0.00022630179863669314,0.0001760699995156756,0.0007293969392776489,0.05381700024008751,0.4205024390566537,0.9997047226449733,98.28163637425996,False,Total_Data.xlsx development
Load3_ZeroInput_1.6s,one_step_validation,Displacement,mm,400,True,Fit_percent >= 95,3.772864943130117e-08,0.00019423864041766037,0.0001550602912902832,0.0008530616760253906,2.293799877166748,0.008467985474721523,0.9999998672590085,99.96356636285813,False,Total_Data.xlsx development
Load3_ZeroInput_1.6s,one_step_validation,Lorentz force,N,400,True,flat reference: max abs error <= 0.001,5.3258199922446664e-12,2.3077738173930016e-06,2.150430449532337e-06,3.2754001040302683e-06,3.1415601000617244e-06,,,,True,Total_Data.xlsx development
Load2_DCChirp_67mA_31Hz_7s,one_step_internal_test,Displacement,mm,1600,True,Fit_percent >= 95,1.707576221246896e-08,0.00013067425994613079,9.914418189509888e-05,0.0007513761520385742,2.3945206236094236,0.005457220065582755,0.9999998825859541,99.96573426698846,False,Total_Data.xlsx development
Load2_DCChirp_67mA_31Hz_7s,one_step_internal_test,Lorentz force,N,1600,True,Fit_percent >= 95,9.405316870941468e-09,9.698101294037647e-05,6.019418826326728e-05,0.00042878836393356323,0.024979999288916588,0.38823465052461437,0.9997459099017401,98.40597961662989,False,Total_Data.xlsx development
Load2_DCChirp_87mA_31Hz_7s,one_step_internal_test,Displacement,mm,1600,True,Fit_percent >= 95,8.73166405432315e-09,9.344337351745788e-05,5.377205940021668e-05,0.0012024939060211182,2.4279200434684753,0.0038487006097600585,0.9999999448104039,99.97650753395946,False,Total_Data.xlsx development
Load2_DCChirp_87mA_31Hz_7s,one_step_internal_test,Lorentz force,N,1600,True,Fit_percent >= 95,8.011534141825431e-09,8.95071736891822e-05,4.5310492860153316e-05,0.0010173171758651733,0.024090999737381935,0.37153781356069737,0.9997976553090967,98.5775208581378,False,Total_Data.xlsx development
Load2_DCChirp_107mA_31Hz_7s,one_step_internal_test,Displacement,mm,1600,True,Fit_percent >= 95,7.549433128458272e-09,8.688747394451212e-05,5.4806041634947175e-05,0.0006464719772338867,2.569200038909912,0.0033818882386977413,0.9999999551323782,99.97881802138812,False,Total_Data.xlsx development
Load2_DCChirp_107mA_31Hz_7s,one_step_internal_test,Lorentz force,N,1600,True,Fit_percent >= 95,1.630129890039557e-08,0.00012767654013324284,5.236780038103461e-05,0.0014987438917160034,0.02051899954676628,0.622235698393805,0.9995854255993828,97.96388998181035,False,Total_Data.xlsx development
